transaction_ct,transaction_amt,t.sender_acct,a.acct_name,a.acct_annual_income,a.acct_src_of_income,a.acct_industry,a.acct_risk,t.transaction_date,t.send_country_risk,t.send_country_name,t.reciever_country_risk,t.reciever_country_name
1,4983329,ACCT6338,Kylan Preston,9357212,Business,Arms industry,High,9/13/2019,Low,United States,High,Colombia
1,4983232,ACCT4993,Abbigail Carpenter,9313549,Business,Petroleum industry,High,2/27/2019,Low,Germany,High,Turkey
1,4982512,ACCT6574,Keyla Huang,8369968,Business,Arms industry,High,11/23/2019,Low,South Korea,High,Iran
1,4982394,ACCT4608,Alyvia Pham,9319555,Business,Financial services industry,High,7/1/2019,Low,Italy,High,Pakistan
1,4982260,ACCT2251,Mariam Camacho,2040453,Business,Steel industry,High,6/12/2019,Low,South Korea,High,Egypt
1,4981689,ACCT6251,Kaylie Tapia,5013164,Business,Construction industry,High,12/28/2019,Low,Italy,High,Philippines
1,4980840,ACCT5841,George Lewis,7987928,Business,Sport industry,High,2/18/2019,Low,Italy,High,Iran
1,4980788,ACCT7100,Jacoby Horn,7686962,Business,Software industry,High,7/15/2019,Low,South Korea,High,South Africa
1,4979402,ACCT3054,Cristal Steele,9501176,Business,Energy industry,High,10/8/2019,Low,Mexico,High,Iran
1,4979125,ACCT2908,Liam Austin,1395223,Business,Semiconductor industry,High,4/17/2019,Low,United Kingdom,High,Russia
1,4978368,ACCT6509,Bryanna Tate,8710582,Business,Telecommunications industry,High,8/18/2019,Low,Germany,High,Egypt
1,4977571,ACCT2648,Sabrina Mcmahon,2870557,Business,Fishing industry,High,5/8/2019,Low,Italy,High,Argentina
1,4976011,ACCT2189,Carmen Rowe,1692423,Business,Real estate industry,High,9/26/2019,Low,Italy,High,Indonesia
1,4975951,ACCT7221,Danielle Walter,5247839,Business,Telecommunications industry,High,11/27/2019,Low,France,High,South Africa
1,4975539,ACCT4624,Aydin Herring,4375646,Business,Aerospace industry,High,9/25/2019,Low,Germany,High,Turkey
1,4971071,ACCT2213,Finley Jimenez,5627603,Business,Computer industry,High,1/5/2019,Low,South Korea,High,Brazil
1,4969808,ACCT2489,Renee Dyer,2089828,Business,Electrical power industry,High,8/26/2019,Low,Germany,High,Indonesia
1,4968731,ACCT3436,Brielle Huang,2693892,Business,Computer industry,High,3/6/2019,Low,South Korea,High,Nigeria
1,4967422,ACCT2789,Wesley Dennis,6963906,Business,Semiconductor industry,High,3/24/2019,Low,Canada,High,South Africa
1,4966602,ACCT5268,Cadence Webb,1848278,Business,Software industry,High,1/31/2019,Low,South Korea,High,Egypt
1,4965997,ACCT2496,Jakayla Cardenas,6038096,Business,Transport industry,High,11/5/2019,Low,Mexico,High,Philippines
1,4965797,ACCT5128,Jaylen Jackson,6812360,Business,Food industry,High,12/24/2019,Low,Germany,High,Egypt
1,4962695,ACCT4117,Cecelia Bartlett,4446672,Business,Shipbuilding industry,High,9/6/2019,Low,Canada,High,Colombia
1,4961651,ACCT7340,Darnell Medina,7187330,Business,Electrical power industry,High,1/6/2019,Low,Italy,High,Pakistan
1,4961498,ACCT3991,Chace Spence,1820846,Business,Fishing industry,High,8/19/2019,Low,Italy,High,Brazil
1,4961453,ACCT7250,Justice Lane,4151017,Business,Real estate industry,High,12/7/2019,Low,Mexico,High,Russia
1,4959951,ACCT6627,Lilian Paul,2907766,Business,Insurance industry,High,10/11/2019,Low,Germany,High,Iran
1,4959947,ACCT5429,Kaleigh Sanders,8780576,Business,Software industry,High,9/13/2019,Low,Italy,High,Iran
1,4959520,ACCT6056,Jaylin Villarreal,4432450,Business,Mass media,High,6/20/2019,Low,Italy,High,Egypt
1,4959236,ACCT7032,Evangeline Bautista,8015308,Business,Arms industry,High,11/27/2019,Low,France,High,Brazil
1,4957546,ACCT2130,Aiden Watts,1456596,Business,Fishing industry,High,6/14/2019,Low,Mexico,High,Indonesia
1,4957121,ACCT3787,Alondra Christensen,4723721,Business,News media,High,10/17/2019,Low,Mexico,High,Turkey
1,4956608,ACCT3250,Maggie Kirby,7555909,Business,Chemical industry,High,1/28/2019,Low,Mexico,High,Brazil
1,4955886,ACCT4583,Romeo James,8877914,Business,Computer industry,High,12/5/2019,Low,Japan,High,Philippines
1,4954509,ACCT7142,Charlee Sanford,1376527,Business,Chemical industry,High,4/1/2019,Low,France,High,Russia
1,4954450,ACCT6757,Maddox Norman,7338716,Business,Internet,High,7/20/2019,Low,United Kingdom,High,Russia
1,4953588,ACCT7358,Juliette Kelley,7650682,Business,Timber industry,High,10/12/2019,Low,United Kingdom,High,Bangladesh
1,4951630,ACCT5199,Briana Singh,1624444,Business,Education industry,High,12/20/2019,Low,Mexico,High,Egypt
1,4950451,ACCT7092,Guillermo Dean,307497,Business,Education industry,High,6/13/2019,Low,Australia,High,Argentina
1,4950025,ACCT5588,Jaylee Shepard,2239610,Business,Education industry,High,11/16/2019,Low,France,High,Bangladesh
1,4949980,ACCT4903,Yusuf Colon,614078,Business,Computer industry,High,6/2/2019,Low,Australia,High,Egypt
1,4948353,ACCT5817,Rebecca Hunt,3618271,Business,Sport industry,High,3/30/2019,Low,United Kingdom,High,Egypt
1,4947356,ACCT3298,Tyson Morrison,4096577,Business,Broadcasting,High,2/2/2019,Low,Australia,High,Turkey
1,4947344,ACCT5167,Aria Roth,8182845,Business,Textile industry,High,1/5/2019,Low,South Korea,High,Pakistan
1,4946700,ACCT6338,Kylan Preston,9357212,Business,Arms industry,High,3/19/2019,Low,France,High,Saudi Arabia
1,4946589,ACCT5727,Kenna Sparks,3522978,Business,Low to medium tech industry,High,12/16/2019,Low,Netherlands,High,Bangladesh
1,4945619,ACCT2031,Izabelle Horn,1248339,Business,News media,High,9/30/2019,Low,Japan,High,Pakistan
1,4945147,ACCT4339,Marissa Fuller,4765056,Business,Education industry,High,6/15/2019,Low,United Kingdom,High,Indonesia
1,4944774,ACCT2791,Jude Walters,8061301,Business,Publishing,High,3/18/2019,Low,Italy,High,Philippines
1,4943909,ACCT2646,Anabelle Torres,4051477,Business,Broadcasting,High,11/17/2019,Low,South Korea,High,Indonesia
1,4943570,ACCT6103,Billy Fox,9787534,Business,Broadcasting,High,5/12/2019,Low,United States,High,Russia
1,4942448,ACCT4164,Abdullah Hays,795837,Business,Shipbuilding industry,High,11/24/2019,Low,Netherlands,High,Vietnam
1,4941764,ACCT5426,Pierce Bradley,7204334,Business,Electrical power industry,High,12/4/2019,Low,Netherlands,High,Egypt
1,4941015,ACCT2847,Danna Contreras,3292998,Business,Timber industry,High,6/21/2019,Low,Canada,High,Egypt
1,4939660,ACCT3897,Kenna Huber,8999478,Business,Defense industry,High,10/9/2019,Low,Netherlands,High,Argentina
1,4938023,ACCT7396,Davion Randolph,4973578,Business,Mining,High,6/8/2019,Low,United Kingdom,High,Argentina
1,4937531,ACCT7408,Hailie Figueroa,4855847,Business,Tobacco industry,High,10/22/2019,Low,Netherlands,High,Colombia
1,4937218,ACCT4470,Mia Wyatt,4850188,Business,Automotive industry,High,6/27/2019,Low,United Kingdom,High,Indonesia
1,4936060,ACCT2769,Zackary Ruiz,513280,Business,Information industry,High,1/17/2019,Low,South Korea,High,Saudi Arabia
1,4935621,ACCT7716,Lily Hogan,2714749,Business,Arms industry,High,7/4/2019,Low,Mexico,High,Vietnam
1,4934398,ACCT4251,Erik Harrison,6774114,Business,News media,High,10/27/2019,Low,France,High,Indonesia
1,4934204,ACCT7996,Francis Mcclure,688219,Business,Computer industry,High,6/2/2019,Low,Japan,High,Colombia
1,4933027,ACCT2995,Ross Knight,1329509,Business,Transport industry,High,7/12/2019,Low,United States,High,Saudi Arabia
1,4930051,ACCT3614,Eden Saunders,3568120,Business,Automotive industry,High,10/15/2019,Low,United Kingdom,High,Saudi Arabia
1,4929231,ACCT5622,Kelvin Cardenas,5286950,Business,Health care industry,High,4/16/2019,Low,Mexico,High,Bangladesh
1,4926565,ACCT3436,Brielle Huang,2693892,Business,Computer industry,High,5/3/2019,Low,South Korea,High,Russia
1,4925415,ACCT5212,Greyson Brooks,7405152,Business,Film industry,High,5/8/2019,Low,Netherlands,High,Nigeria
1,4923437,ACCT2105,Aldo Austin,8762405,Business,Insurance industry,High,2/24/2019,Low,United Kingdom,High,Brazil
1,4922468,ACCT3151,Stephany Ford,9191319,Business,Sport industry,High,11/1/2019,Low,Germany,High,Bangladesh
1,4919625,ACCT5076,Arnav Manning,5688358,Business,Mining,High,4/29/2019,Low,United Kingdom,High,Egypt
1,4919561,ACCT7530,Trinity Frost,3614862,Business,Low to medium tech industry,High,6/21/2019,Low,Germany,High,Saudi Arabia
1,4918146,ACCT2419,Reese Warren,6744247,Business,Software industry,High,1/24/2019,Low,United Kingdom,High,Bangladesh
1,4917759,ACCT6836,Braeden Patel,4987347,Business,Software industry,High,5/24/2019,Low,Netherlands,High,Pakistan
1,4917572,ACCT6011,Kian Day,8251537,Business,Pulp and paper industry,High,6/23/2019,Low,South Korea,High,Vietnam
1,4917351,ACCT2693,Zayden Webster,802647,Business,Entertainment industry,High,5/27/2019,Low,Italy,High,Philippines
1,4916714,ACCT3524,Bo Coleman,2178134,Business,Textile industry,High,9/15/2019,Low,United States,High,Turkey
1,4916302,ACCT2765,Mckenna Mcintosh,1877005,Business,Timber industry,High,12/28/2019,Low,Germany,High,Egypt
1,4916116,ACCT5076,Arnav Manning,5688358,Business,Mining,High,12/16/2019,Low,France,High,Brazil
1,4915581,ACCT7993,Ryland Beasley,2211947,Business,Water industry,High,11/22/2019,Low,Netherlands,High,Indonesia
1,4915521,ACCT5788,Phoenix Blevins,276225,Business,Aerospace industry,High,3/22/2019,Low,South Korea,High,Bangladesh
1,4914751,ACCT6597,Chloe Austin,5826725,Business,Chemical industry,High,5/25/2019,Low,Mexico,High,Russia
1,4914599,ACCT5176,Tamia Gonzales,3885466,Business,Internet,High,6/15/2019,Low,Japan,High,Iran
1,4914234,ACCT2046,Skyler Shah,7881206,Business,Mass media,High,4/11/2019,Low,Australia,High,Nigeria
1,4913793,ACCT5457,Reid Gamble,3547831,Business,Internet,High,7/6/2019,Low,Canada,High,Egypt
1,4913288,ACCT2489,Renee Dyer,2089828,Business,Electrical power industry,High,5/10/2019,Low,Canada,High,Nigeria
1,4910508,ACCT7227,Cassius Dougherty,7471173,Business,Low to medium tech industry,High,9/12/2019,Low,United Kingdom,High,Russia
1,4910408,ACCT7662,Ty Bauer,4274975,Business,Industrial robot industry,High,8/28/2019,Low,Netherlands,High,Bangladesh
1,4909792,ACCT2645,Carly Page,544724,Business,Software industry,High,10/9/2019,Low,Netherlands,High,Philippines
1,4909262,ACCT2614,Aryan Middleton,6083720,Business,Pulp and paper industry,High,10/24/2019,Low,Italy,High,Russia
1,4909001,ACCT2572,Ashlee Phelps,1779194,Business,Automotive industry,High,7/16/2019,Low,Canada,High,Colombia
1,4907744,ACCT2913,Nevaeh Galvan,3493833,Business,Health care industry,High,2/28/2019,Low,Germany,High,Russia
1,4907571,ACCT6492,Emilia Simmons,302364,Business,Petroleum industry,High,9/2/2019,Low,Germany,High,Argentina
1,4907280,ACCT6089,Agustin Morales,5251650,Business,Timber industry,High,4/26/2019,Low,Netherlands,High,Turkey
1,4905992,ACCT6587,Destinee Shaw,4201432,Business,Health care industry,High,1/26/2019,Low,Italy,High,Philippines
1,4905556,ACCT6482,Emelia Johns,7644864,Business,Video game industry,High,7/4/2019,Low,United States,High,Colombia
1,4904710,ACCT5622,Kelvin Cardenas,5286950,Business,Health care industry,High,10/21/2019,Low,Australia,High,Vietnam
1,4903654,ACCT2271,Nadia Osborn,5065093,Business,Internet,High,5/18/2019,Low,Italy,High,Egypt
1,4902965,ACCT7656,Karen Riley,4300126,Business,Energy industry,High,2/16/2019,Low,Canada,High,Saudi Arabia
1,4902390,ACCT5199,Briana Singh,1624444,Business,Education industry,High,12/2/2019,Low,Japan,High,Iran
1,4902252,ACCT6833,Jillian Parsons,3749663,Business,Sport industry,High,2/2/2019,Low,Netherlands,High,Russia
1,4902197,ACCT3401,Beckham Friedman,8871231,Business,Mass media,High,1/21/2019,Low,Mexico,High,Pakistan
1,4902131,ACCT6394,Oswaldo Davenport,2494226,Business,Food industry,High,3/21/2019,Low,France,High,Colombia
1,4901092,ACCT7518,Harrison Pacheco,9235648,Business,Shipbuilding industry,High,5/16/2019,Low,South Korea,High,Brazil
1,4899994,ACCT7382,Gwendolyn Stanley,9686411,Business,Water industry,High,9/28/2019,Low,United States,High,Pakistan
1,4899522,ACCT5770,Diamond Huerta,6544906,Business,Telecommunications industry,High,2/22/2019,Low,United States,High,Russia
1,4898515,ACCT7968,Clayton Oneill,7062516,Business,Arms industry,High,7/31/2019,Low,Japan,High,Saudi Arabia
1,4896882,ACCT2010,Yosef Perry,8235368,Business,Automotive industry,High,2/2/2019,Low,France,High,Bangladesh
1,4890940,ACCT4851,Maddox Mahoney,1537529,Business,Health care industry,High,8/13/2019,Low,Italy,High,Russia
1,4888134,ACCT2640,Aaliyah Mullen,4729532,Business,News media,High,1/3/2019,Low,Netherlands,High,Vietnam
1,4888038,ACCT4986,Abigail Moon,2480508,Business,Telecommunications industry,High,1/10/2019,Low,Australia,High,Egypt
1,4886857,ACCT4189,Neveah Delacruz,6422404,Business,Insurance industry,High,1/1/2019,Low,Australia,High,Argentina
1,4886677,ACCT2528,Aiden Huff,5007800,Business,Textile industry,High,2/4/2019,Low,Italy,High,Philippines
1,4885883,ACCT4296,Ellen Kim,4915932,Business,Water industry,High,1/4/2019,Low,Japan,High,Turkey
1,4885789,ACCT6758,Rigoberto Newman,1549567,Business,Aerospace industry,High,3/14/2019,Low,Japan,High,Argentina
1,4885608,ACCT7780,Jett House,4394877,Business,Entertainment industry,High,8/12/2019,Low,South Korea,High,Philippines
1,4884600,ACCT7064,Bruno Cabrera,9181580,Business,Electronics industry,High,8/7/2019,Low,Mexico,High,Brazil
1,4884220,ACCT2255,Skylar Meadows,3529793,Business,Pharmaceutical industry,High,8/30/2019,Low,Italy,High,Brazil
1,4883390,ACCT4517,Sarahi Richmond,2898357,Business,Textile industry,High,8/30/2019,Low,Netherlands,High,Vietnam
1,4881881,ACCT5710,Jaylynn Mcguire,5379262,Business,Insurance industry,High,6/18/2019,Low,Germany,High,Vietnam
1,4880831,ACCT5861,Princess Ferguson,8465932,Business,Industrial robot industry,High,3/18/2019,Low,South Korea,High,Turkey
1,4878725,ACCT5726,Adyson Watkins,9665397,Business,Steel industry,High,11/30/2019,Low,Japan,High,Egypt
1,4877102,ACCT3815,Maddison Hardy,9106232,Business,Automotive industry,High,6/3/2019,Low,Netherlands,High,Colombia
1,4875946,ACCT2330,Conrad Curtis,8427695,Business,Automotive industry,High,10/14/2019,Low,Netherlands,High,Nigeria
1,4875449,ACCT7250,Justice Lane,4151017,Business,Real estate industry,High,6/25/2019,Low,Australia,High,Egypt
1,4875358,ACCT5069,Kaitlin Matthews,2254543,Business,News media,High,3/3/2019,Low,South Korea,High,Turkey
1,4870499,ACCT4005,Liberty Williams,9767926,Business,Industrial robot industry,High,1/12/2019,Low,Italy,High,Brazil
1,4869607,ACCT7039,Joyce Hudson,8266894,Business,Fishing industry,High,12/21/2019,Low,United Kingdom,High,South Africa
1,4869323,ACCT3849,Ellis Acevedo,5997023,Business,Automotive industry,High,8/24/2019,Low,United Kingdom,High,Philippines
1,4868269,ACCT5103,Allen Calhoun,6139329,Business,Mass media,High,6/16/2019,Low,United Kingdom,High,Argentina
1,4866767,ACCT6325,Brooke Cruz,1465687,Business,Steel industry,High,2/9/2019,Low,Canada,High,Indonesia
1,4866722,ACCT5486,Baron Manning,8928735,Business,Automotive industry,High,1/25/2019,Low,Japan,High,Indonesia
1,4866210,ACCT2787,Ahmad Lowery,2285439,Business,Computer industry,High,9/23/2019,Low,Japan,High,Bangladesh
1,4866063,ACCT7579,Ally Espinoza,1214825,Business,Telecommunications industry,High,8/29/2019,Low,South Korea,High,Russia
1,4865828,ACCT5423,Aubrie Strong,8766721,Business,Semiconductor industry,High,8/21/2019,Low,Italy,High,Brazil
1,4864901,ACCT5977,Jamarcus Yang,9852245,Business,Shipbuilding industry,High,6/19/2019,Low,Canada,High,Argentina
1,4860116,ACCT4120,Marcel Bowen,4862285,Business,Sport industry,High,9/25/2019,Low,Japan,High,South Africa
1,4859940,ACCT7603,Finley Lynch,1800068,Business,Music industry,High,8/28/2019,Low,Netherlands,High,Vietnam
1,4859249,ACCT4484,Gustavo Ellis,1996357,Business,Low to medium tech industry,High,6/1/2019,Low,Japan,High,Pakistan
1,4857978,ACCT7173,Bradley Lynch,3457629,Business,Chemical industry,High,6/22/2019,Low,Japan,High,Russia
1,4856333,ACCT3786,Uriel Fry,3022346,Business,Electronics industry,High,10/15/2019,Low,United Kingdom,High,South Africa
1,4856171,ACCT6146,Savanah Perry,6680572,Business,Health care industry,High,9/7/2019,Low,France,High,South Africa
1,4855938,ACCT7031,Dustin Stanley,743260,Business,Hospitality industry,High,5/18/2019,Low,South Korea,High,Russia
1,4855628,ACCT6440,Brandon Swanson,9326688,Business,Defense industry,High,6/11/2019,Low,France,High,Iran
1,4854549,ACCT3952,Zachery Wong,1502477,Business,Sport industry,High,11/9/2019,Low,United Kingdom,High,South Africa
1,4854195,ACCT5657,Valentin Macias,6687288,Business,Electronics industry,High,7/22/2019,Low,Netherlands,High,South Africa
1,4854124,ACCT7575,Janelle Colon,9501127,Business,Pulp and paper industry,High,8/5/2019,Low,Australia,High,Bangladesh
1,4853707,ACCT5175,Easton Humphrey,4456767,Business,Film industry,High,4/28/2019,Low,Mexico,High,Saudi Arabia
1,4852604,ACCT2189,Carmen Rowe,1692423,Business,Real estate industry,High,11/22/2019,Low,Canada,High,Russia
1,4852044,ACCT2518,Madalyn Huynh,1812329,Business,Energy industry,High,6/18/2019,Low,South Korea,High,Brazil
1,4850757,ACCT5154,Kamila Pennington,4456171,Business,Transport industry,High,2/21/2019,Low,France,High,Pakistan
1,4850173,ACCT6131,Miracle Sharp,157719,Business,Automotive industry,High,10/8/2019,Low,United States,High,Argentina
1,4847103,ACCT4806,Jocelyn Barnes,5413927,Business,Pharmaceutical industry,High,1/8/2019,Low,Mexico,High,Egypt
1,4846309,ACCT2818,Patricia Mcdonald,7425915,Business,Internet,High,11/25/2019,Low,Australia,High,Nigeria
1,4845037,ACCT5716,Yaritza Madden,9783599,Business,Steel industry,High,7/15/2019,Low,United Kingdom,High,Egypt
1,4844444,ACCT6301,Cecilia Meyer,368008,Business,Energy industry,High,11/23/2019,Low,Italy,High,Colombia
1,4843837,ACCT2371,Amari Farrell,883818,Business,Aerospace industry,High,4/30/2019,Low,Italy,High,Nigeria
1,4843067,ACCT4965,Emiliano Moses,2499393,Business,Software industry,High,12/17/2019,Low,Netherlands,High,Iran
1,4840548,ACCT5892,Turner Gibbs,1196714,Business,Education industry,High,2/2/2019,Low,Netherlands,High,Saudi Arabia
1,4839898,ACCT6974,Bruce Allen,4088812,Business,Health care industry,High,4/25/2019,Low,France,High,Colombia
1,4839725,ACCT7665,Leia Berry,2224181,Business,Insurance industry,High,10/26/2019,Low,France,High,Pakistan
1,4838646,ACCT7934,Rylee Bright,6043626,Business,Construction industry,High,5/28/2019,Low,Japan,High,Brazil
1,4838028,ACCT2250,Milo Christensen,2598868,Business,Computer industry,High,6/26/2019,Low,United States,High,Colombia
1,4837675,ACCT5429,Kaleigh Sanders,8780576,Business,Software industry,High,10/23/2019,Low,United States,High,Philippines
1,4837214,ACCT3848,Salvador Dickerson,6199973,Business,Video game industry,High,5/13/2019,Low,Canada,High,Nigeria
1,4836820,ACCT5199,Briana Singh,1624444,Business,Education industry,High,3/9/2019,Low,Germany,High,Philippines
1,4836398,ACCT2765,Mckenna Mcintosh,1877005,Business,Timber industry,High,5/18/2019,Low,Australia,High,Egypt
1,4836357,ACCT7333,Abbigail Fry,8600772,Business,Video game industry,High,1/11/2019,Low,Mexico,High,Brazil
1,4834584,ACCT7553,Moriah Hampton,5598643,Business,Film industry,High,2/27/2019,Low,Canada,High,Turkey
1,4833928,ACCT2764,Greyson Weeks,2304468,Business,Hospitality industry,High,4/11/2019,Low,South Korea,High,Indonesia
1,4833385,ACCT2046,Skyler Shah,7881206,Business,Mass media,High,12/19/2019,Low,Italy,High,Philippines
1,4831256,ACCT2791,Jude Walters,8061301,Business,Publishing,High,2/18/2019,Low,Australia,High,Iran
1,4830805,ACCT6169,Eden Miller,9858238,Business,Automotive industry,High,3/19/2019,Low,Germany,High,Egypt
1,4828912,ACCT3436,Brielle Huang,2693892,Business,Computer industry,High,3/4/2019,Low,South Korea,High,Iran
1,4828683,ACCT6251,Kaylie Tapia,5013164,Business,Construction industry,High,8/27/2019,Low,Germany,High,Bangladesh
1,4827853,ACCT3598,Shea Case,3365814,Business,Hospitality industry,High,11/30/2019,Low,Italy,High,Brazil
1,4826510,ACCT6114,Ally Olsen,169672,Business,Industrial robot industry,High,10/8/2019,Low,Italy,High,Brazil
1,4825933,ACCT7568,Darrell Mann,5141428,Business,Entertainment industry,High,8/9/2019,Low,United Kingdom,High,Turkey
1,4825798,ACCT4094,Jaelynn Foley,3625933,Business,Telecommunications industry,High,1/1/2019,Low,Netherlands,High,Iran
1,4825353,ACCT4027,Shayla Shah,1940055,Business,Hospitality industry,High,12/18/2019,Low,Mexico,High,Argentina
1,4825242,ACCT4829,Jamir Graves,7455186,Business,Entertainment industry,High,12/2/2019,Low,Australia,High,Bangladesh
1,4824249,ACCT2501,Elliott Rivers,9267926,Business,Low to medium tech industry,High,3/31/2019,Low,Germany,High,Pakistan
1,4823814,ACCT2333,Derick Peters,3656649,Business,Software industry,High,2/10/2019,Low,United States,High,Bangladesh
1,4822405,ACCT4043,Kelly Bautista,6581447,Business,Defense industry,High,4/20/2019,Low,Mexico,High,Vietnam
1,4821754,ACCT5862,Teagan Jacobs,3639861,Business,Insurance industry,High,4/9/2019,Low,Netherlands,High,Bangladesh
1,4821269,ACCT2733,Raphael Owen,3696727,Business,Industrial robot industry,High,9/17/2019,Low,South Korea,High,Pakistan
1,4821022,ACCT3524,Bo Coleman,2178134,Business,Textile industry,High,12/19/2019,Low,Italy,High,Iran
1,4818826,ACCT2660,Chase Swanson,2872387,Business,Hospitality industry,High,1/2/2019,Low,United Kingdom,High,Saudi Arabia
1,4816768,ACCT5599,Kenley Wilkerson,3720150,Business,Transport industry,High,12/27/2019,Low,South Korea,High,Colombia
1,4816476,ACCT5122,Tess Owen,9324324,Business,Computer industry,High,8/9/2019,Low,Australia,High,Brazil
1,4811677,ACCT2426,Zoie Douglas,6197431,Business,Film industry,High,4/14/2019,Low,Germany,High,Philippines
1,4811655,ACCT4234,Celeste Gray,1573491,Business,Information industry,High,2/23/2019,Low,Canada,High,Vietnam
1,4806307,ACCT3054,Cristal Steele,9501176,Business,Energy industry,High,9/8/2019,Low,United Kingdom,High,Vietnam
1,4805407,ACCT3177,Keyon Jones,467592,Business,Mass media,High,12/15/2019,Low,Australia,High,Saudi Arabia
1,4805123,ACCT7039,Joyce Hudson,8266894,Business,Fishing industry,High,2/2/2019,Low,Mexico,High,Russia
1,4804841,ACCT7176,Liana Landry,8675121,Business,Energy industry,High,9/25/2019,Low,Germany,High,Russia
1,4800911,ACCT4969,Dana Peterson,9846186,Business,Telecommunications industry,High,11/17/2019,Low,United States,High,Vietnam
1,4800320,ACCT3472,Jenna Donovan,3670472,Business,Entertainment industry,High,8/7/2019,Low,Netherlands,High,Egypt
1,4798805,ACCT6768,Shannon Andrade,5571337,Business,Hospitality industry,High,11/23/2019,Low,France,High,Argentina
1,4798367,ACCT4382,Angela Todd,3493372,Business,Timber industry,High,4/27/2019,Low,South Korea,High,Colombia
1,4797633,ACCT5890,Anna Osborne,9413073,Business,Entertainment industry,High,8/16/2019,Low,France,High,Saudi Arabia
1,4796527,ACCT3752,Carly Reeves,3849148,Business,Tobacco industry,High,3/28/2019,Low,Italy,High,Bangladesh
1,4796503,ACCT5993,Jerome Salas,326590,Business,Transport industry,High,1/11/2019,Low,France,High,Russia
1,4796200,ACCT3946,Dania Moyer,1931245,Business,Semiconductor industry,High,12/26/2019,Low,Australia,High,Brazil
1,4795676,ACCT4823,Lance Vance,129926,Business,Pulp and paper industry,High,1/26/2019,Low,France,High,South Africa
1,4793233,ACCT4650,Bryce Preston,9847658,Business,Transport industry,High,3/7/2019,Low,Mexico,High,Iran
1,4791501,ACCT4090,Dustin Kerr,1446737,Business,Health care industry,High,8/1/2019,Low,Mexico,High,Vietnam
1,4791344,ACCT3993,Walter Ferrell,7029395,Business,Fishing industry,High,11/6/2019,Low,Germany,High,Nigeria
1,4789491,ACCT6918,Clinton Velez,4881644,Business,Arms industry,High,3/25/2019,Low,Netherlands,High,Brazil
1,4788470,ACCT4899,Lizbeth Leon,2051743,Business,Textile industry,High,9/27/2019,Low,South Korea,High,Brazil
1,4788135,ACCT4466,Rogelio Stark,5765199,Business,Semiconductor industry,High,1/31/2019,Low,Italy,High,Brazil
1,4786288,ACCT3052,Pranav Salas,692233,Business,Defense industry,High,10/12/2019,Low,Mexico,High,Saudi Arabia
1,4785282,ACCT5326,Fisher Bishop,3539338,Business,Fishing industry,High,1/22/2019,Low,Mexico,High,Argentina
1,4784029,ACCT4296,Ellen Kim,4915932,Business,Water industry,High,10/9/2019,Low,United States,High,Argentina
1,4783365,ACCT4986,Abigail Moon,2480508,Business,Telecommunications industry,High,5/24/2019,Low,Italy,High,Saudi Arabia
