f.acctid,f.acctname,f.potential_fraud_fl,fraud_alert_dt,f.incr_in_credit_card_spent,f.avg_monthly_creditcard_spent,f.daily_credit_card_transaction_amt,f.daily_credit_card_transaction_ct
ACCT7958,Kash Dickson,Y,11/28/2019,316.0625,16,5057,2
ACCT3867,Keenan Holloway,Y,3/10/2019,314.375,8,2515,1
ACCT4471,Elle Cohen,Y,12/20/2019,307.375,8,2459,1
ACCT3867,Keenan Holloway,Y,8/20/2019,301.5,8,2412,1
ACCT4851,Maddox Mahoney,Y,11/18/2019,299.25,4,1197,1
ACCT6470,Justice Oneill,Y,1/29/2019,297.0,8,2376,2
ACCT4851,Maddox Mahoney,Y,11/30/2019,284.75,4,1139,1
ACCT4851,Maddox Mahoney,Y,10/8/2019,276.0,4,1104,1
ACCT6470,Justice Oneill,Y,11/1/2019,274.875,8,2199,1
ACCT4471,Elle Cohen,Y,6/29/2019,274.25,8,2194,1
ACCT4572,Richard Gibson,Y,10/22/2019,272.11764705882354,17,4626,2
ACCT4851,Maddox Mahoney,Y,4/28/2019,271.5,4,1086,1
ACCT3867,Keenan Holloway,Y,8/31/2019,268.875,8,2151,1
ACCT3584,Quincy Townsend,Y,4/3/2019,267.09090909090907,11,2938,1
ACCT6975,Rey Mccarthy,Y,11/27/2019,264.9230769230769,26,6888,3
ACCT3584,Quincy Townsend,Y,3/23/2019,263.45454545454544,11,2898,1
ACCT3584,Quincy Townsend,Y,8/22/2019,258.72727272727275,11,2846,1
ACCT4471,Elle Cohen,Y,4/27/2019,257.875,8,2063,1
ACCT6470,Justice Oneill,Y,5/2/2019,257.5,8,2060,1
ACCT3584,Quincy Townsend,Y,1/19/2019,254.9090909090909,11,2804,1
ACCT3867,Keenan Holloway,Y,7/19/2019,252.625,8,2021,1
ACCT4471,Elle Cohen,Y,9/18/2019,251.75,8,2014,1
ACCT4471,Elle Cohen,Y,9/5/2019,249.625,8,1997,1
ACCT3584,Quincy Townsend,Y,6/17/2019,249.0,11,2739,1
ACCT6470,Justice Oneill,Y,4/3/2019,247.375,8,1979,1
ACCT3584,Quincy Townsend,Y,4/12/2019,246.9090909090909,11,2716,1
ACCT6470,Justice Oneill,Y,8/31/2019,245.875,8,1967,1
ACCT3867,Keenan Holloway,Y,7/28/2019,245.5,8,1964,1
ACCT3584,Quincy Townsend,Y,12/30/2019,244.0,11,2684,1
ACCT3584,Quincy Townsend,Y,10/18/2019,243.63636363636363,11,2680,1
ACCT3584,Quincy Townsend,Y,1/4/2019,236.54545454545453,11,2602,1
ACCT3867,Keenan Holloway,Y,11/25/2019,235.5,8,1884,1
ACCT6470,Justice Oneill,Y,7/8/2019,234.5,8,1876,1
ACCT4480,Nina Bates,Y,7/19/2019,233.77272727272728,22,5143,2
ACCT6470,Justice Oneill,Y,8/17/2019,232.625,8,1861,1
ACCT3584,Quincy Townsend,Y,8/30/2019,231.63636363636363,11,2548,1
ACCT5583,Lainey Horne,Y,2/21/2019,230.6153846153846,13,2998,1
ACCT4039,Selina Perkins,Y,6/4/2019,230.5,18,4149,2
ACCT3584,Quincy Townsend,Y,2/12/2019,229.54545454545453,11,2525,2
ACCT4471,Elle Cohen,Y,7/19/2019,229.5,8,1836,1
ACCT5583,Lainey Horne,Y,1/30/2019,229.30769230769232,13,2981,1
ACCT5583,Lainey Horne,Y,11/6/2019,228.46153846153845,13,2970,1
ACCT5583,Lainey Horne,Y,8/14/2019,224.76923076923077,13,2922,1
ACCT4851,Maddox Mahoney,Y,9/21/2019,224.25,4,897,2
ACCT6470,Justice Oneill,Y,10/5/2019,224.0,8,1792,1
ACCT5583,Lainey Horne,Y,1/16/2019,223.07692307692307,13,2900,1
ACCT5583,Lainey Horne,Y,12/28/2019,221.84615384615384,13,2884,1
ACCT3867,Keenan Holloway,Y,6/4/2019,221.625,8,1773,1
ACCT3584,Quincy Townsend,Y,11/14/2019,221.45454545454547,11,2436,1
ACCT5962,Jace Harding,Y,10/11/2019,221.375,24,5313,3
ACCT3584,Quincy Townsend,Y,8/3/2019,219.27272727272728,11,2412,1
ACCT4471,Elle Cohen,Y,9/20/2019,217.625,8,1741,1
ACCT4471,Elle Cohen,Y,5/24/2019,216.375,8,1731,1
ACCT4471,Elle Cohen,Y,8/5/2019,215.75,8,1726,1
ACCT4228,Malik Lloyd,Y,8/5/2019,214.69230769230768,13,2791,1
ACCT4471,Elle Cohen,Y,7/30/2019,214.25,8,1714,1
ACCT6470,Justice Oneill,Y,4/2/2019,212.5,8,1700,1
ACCT5583,Lainey Horne,Y,3/3/2019,210.3846153846154,13,2735,2
ACCT6470,Justice Oneill,Y,4/11/2019,209.5,8,1676,1
ACCT4740,Johnny Beasley,Y,11/23/2019,209.11111111111111,18,3764,2
ACCT4471,Elle Cohen,Y,5/9/2019,207.25,8,1658,1
ACCT3584,Quincy Townsend,Y,8/20/2019,205.1818181818182,11,2257,1
ACCT6470,Justice Oneill,Y,11/29/2019,204.5,8,1636,2
ACCT3584,Quincy Townsend,Y,2/9/2019,203.36363636363637,11,2237,1
ACCT5583,Lainey Horne,Y,3/30/2019,202.76923076923077,13,2636,1
ACCT4228,Malik Lloyd,Y,2/19/2019,202.76923076923077,13,2636,1
ACCT6470,Justice Oneill,Y,3/29/2019,201.75,8,1614,1
ACCT5583,Lainey Horne,Y,11/19/2019,201.30769230769232,13,2617,1
ACCT4228,Malik Lloyd,Y,10/17/2019,199.92307692307693,13,2599,1
ACCT3584,Quincy Townsend,Y,1/12/2019,199.36363636363637,11,2193,1
ACCT3234,Agustin Rubio,Y,8/12/2019,199.06666666666666,15,2986,1
ACCT2626,Conor Ross,Y,7/13/2019,196.95833333333334,24,4727,2
ACCT3234,Agustin Rubio,Y,10/8/2019,195.6,15,2934,1
ACCT4851,Maddox Mahoney,Y,4/21/2019,195.0,4,780,1
ACCT4228,Malik Lloyd,Y,4/5/2019,194.46153846153845,13,2528,1
ACCT5583,Lainey Horne,Y,5/10/2019,194.46153846153845,13,2528,1
ACCT5669,Dayami Gates,Y,3/18/2019,193.48,25,4837,2
ACCT6470,Justice Oneill,Y,2/22/2019,192.875,8,1543,1
ACCT3867,Keenan Holloway,Y,3/22/2019,191.875,8,1535,1
ACCT5583,Lainey Horne,Y,6/21/2019,191.46153846153845,13,2489,1
ACCT4228,Malik Lloyd,Y,10/1/2019,190.46153846153845,13,2476,1
ACCT6470,Justice Oneill,Y,1/12/2019,190.375,8,1523,1
ACCT4851,Maddox Mahoney,Y,10/12/2019,189.25,4,757,1
ACCT4228,Malik Lloyd,Y,8/10/2019,188.76923076923077,13,2454,1
ACCT3867,Keenan Holloway,Y,10/18/2019,187.0,8,1496,1
ACCT3867,Keenan Holloway,Y,5/4/2019,186.5,8,1492,1
ACCT7958,Kash Dickson,Y,2/16/2019,186.375,16,2982,1
ACCT3584,Quincy Townsend,Y,8/9/2019,184.72727272727272,11,2032,1
ACCT4037,Akira Bowman,Y,3/28/2019,183.13636363636363,22,4029,2
ACCT5192,Lorenzo Tyler,Y,10/12/2019,182.26315789473685,19,3463,2
ACCT4471,Elle Cohen,Y,3/6/2019,180.375,8,1443,1
ACCT3363,Carlie Sharp,Y,2/27/2019,180.10344827586206,29,5223,2
ACCT4228,Malik Lloyd,Y,8/11/2019,176.0,13,2288,1
ACCT3584,Quincy Townsend,Y,9/8/2019,174.1818181818182,11,1916,1
ACCT4572,Richard Gibson,Y,8/17/2019,174.05882352941177,17,2959,1
ACCT5655,Mckenna Dixon,Y,4/18/2019,173.58823529411765,17,2951,1
ACCT3867,Keenan Holloway,Y,8/17/2019,173.5,8,1388,1
ACCT3584,Quincy Townsend,Y,4/26/2019,172.72727272727272,11,1900,1
ACCT3867,Keenan Holloway,Y,1/8/2019,172.5,8,1380,1
ACCT3584,Quincy Townsend,Y,5/9/2019,172.36363636363637,11,1896,1
ACCT5192,Lorenzo Tyler,Y,10/28/2019,171.89473684210526,19,3266,3
ACCT3234,Agustin Rubio,Y,9/24/2019,171.73333333333332,15,2576,1
ACCT7958,Kash Dickson,Y,12/31/2019,171.4375,16,2743,1
ACCT3867,Keenan Holloway,Y,7/31/2019,170.125,8,1361,1
ACCT6470,Justice Oneill,Y,1/30/2019,168.5,8,1348,1
ACCT4851,Maddox Mahoney,Y,4/29/2019,166.75,4,667,1
ACCT4228,Malik Lloyd,Y,5/15/2019,166.69230769230768,13,2167,2
ACCT3234,Agustin Rubio,Y,6/3/2019,166.26666666666668,15,2494,1
ACCT3867,Keenan Holloway,Y,3/28/2019,165.0,8,1320,1
ACCT4228,Malik Lloyd,Y,11/21/2019,164.53846153846155,13,2139,1
ACCT5655,Mckenna Dixon,Y,1/20/2019,164.23529411764707,17,2792,1
ACCT4039,Selina Perkins,Y,9/29/2019,164.05555555555554,18,2953,1
ACCT3867,Keenan Holloway,Y,2/2/2019,164.0,8,1312,1
ACCT3756,Catherine Booker,Y,9/16/2019,163.58064516129033,31,5071,2
ACCT5583,Lainey Horne,Y,7/12/2019,162.84615384615384,13,2117,1
ACCT4572,Richard Gibson,Y,3/11/2019,162.47058823529412,17,2762,1
ACCT5655,Mckenna Dixon,Y,3/18/2019,162.23529411764707,17,2758,1
ACCT5583,Lainey Horne,Y,8/6/2019,161.6153846153846,13,2101,1
ACCT3234,Agustin Rubio,Y,10/11/2019,161.4,15,2421,1
ACCT5655,Mckenna Dixon,Y,5/29/2019,161.2941176470588,17,2742,1
ACCT4039,Selina Perkins,Y,7/22/2019,160.88888888888889,18,2896,1
ACCT5748,Dean Powell,Y,9/27/2019,160.5,22,3531,2
ACCT7958,Kash Dickson,Y,8/23/2019,160.375,16,2566,1
ACCT4572,Richard Gibson,Y,3/27/2019,160.35294117647058,17,2726,2
ACCT3363,Carlie Sharp,Y,2/11/2019,160.10344827586206,29,4643,2
ACCT7958,Kash Dickson,Y,10/8/2019,159.9375,16,2559,1
ACCT4039,Selina Perkins,Y,9/4/2019,158.44444444444446,18,2852,1
ACCT4572,Richard Gibson,Y,11/16/2019,158.2941176470588,17,2691,1
ACCT3234,Agustin Rubio,Y,3/3/2019,158.2,15,2373,1
ACCT4228,Malik Lloyd,Y,8/15/2019,158.0,13,2054,1
ACCT4740,Johnny Beasley,Y,9/19/2019,157.27777777777777,18,2831,1
ACCT4039,Selina Perkins,Y,5/6/2019,155.61111111111111,18,2801,1
ACCT5192,Lorenzo Tyler,Y,12/21/2019,155.42105263157896,19,2953,1
ACCT4740,Johnny Beasley,Y,6/14/2019,155.22222222222223,18,2794,2
ACCT6470,Justice Oneill,Y,5/21/2019,154.75,8,1238,1
ACCT4851,Maddox Mahoney,Y,10/30/2019,154.5,4,618,1
ACCT5655,Mckenna Dixon,Y,6/9/2019,153.05882352941177,17,2602,1
ACCT4010,Madison Jensen,Y,12/23/2019,151.6153846153846,26,3942,2
ACCT4039,Selina Perkins,Y,5/2/2019,150.77777777777777,18,2714,1
ACCT4471,Elle Cohen,Y,1/17/2019,150.75,8,1206,1
ACCT7958,Kash Dickson,Y,6/21/2019,150.0625,16,2401,1
ACCT4572,Richard Gibson,Y,1/6/2019,150.0,17,2550,1
ACCT3867,Keenan Holloway,Y,7/14/2019,149.25,8,1194,1
ACCT3867,Keenan Holloway,Y,7/29/2019,149.0,8,1192,1
ACCT4471,Elle Cohen,Y,11/13/2019,148.375,8,1187,1
ACCT4039,Selina Perkins,Y,3/15/2019,148.33333333333334,18,2670,1
ACCT3363,Carlie Sharp,Y,9/14/2019,148.20689655172413,29,4298,2
ACCT4740,Johnny Beasley,Y,4/11/2019,148.0,18,2664,1
ACCT5655,Mckenna Dixon,Y,12/16/2019,147.94117647058823,17,2515,1
ACCT5192,Lorenzo Tyler,Y,12/9/2019,147.89473684210526,19,2810,1
ACCT5655,Mckenna Dixon,Y,3/21/2019,147.88235294117646,17,2514,1
ACCT4039,Selina Perkins,Y,7/15/2019,147.38888888888889,18,2653,1
ACCT7958,Kash Dickson,Y,9/27/2019,146.1875,16,2339,1
ACCT5655,Mckenna Dixon,Y,4/10/2019,146.1764705882353,17,2485,1
ACCT4039,Selina Perkins,Y,3/7/2019,145.77777777777777,18,2624,1
ACCT4572,Richard Gibson,Y,4/18/2019,145.23529411764707,17,2469,1
ACCT4039,Selina Perkins,Y,4/8/2019,144.55555555555554,18,2602,1
ACCT3565,Maia Zavala,Y,6/2/2019,144.47368421052633,19,2745,1
ACCT3234,Agustin Rubio,Y,11/10/2019,144.46666666666667,15,2167,2
ACCT7958,Kash Dickson,Y,8/13/2019,144.0625,16,2305,1
ACCT4572,Richard Gibson,Y,12/11/2019,144.05882352941177,17,2449,1
ACCT4228,Malik Lloyd,Y,7/15/2019,143.30769230769232,13,1863,1
ACCT5655,Mckenna Dixon,Y,11/1/2019,142.58823529411765,17,2424,1
ACCT3234,Agustin Rubio,Y,10/26/2019,142.46666666666667,15,2137,2
ACCT5964,Crystal Ball,Y,12/19/2019,142.32142857142858,28,3985,2
ACCT3584,Quincy Townsend,Y,7/4/2019,142.0,11,1562,1
ACCT4228,Malik Lloyd,Y,3/26/2019,141.76923076923077,13,1843,2
ACCT4740,Johnny Beasley,Y,1/15/2019,141.72222222222223,18,2551,1
ACCT5192,Lorenzo Tyler,Y,7/19/2019,140.78947368421052,19,2675,1
ACCT5655,Mckenna Dixon,Y,2/26/2019,140.23529411764707,17,2384,1
ACCT5655,Mckenna Dixon,Y,1/9/2019,139.05882352941177,17,2364,1
ACCT4572,Richard Gibson,Y,12/20/2019,139.0,17,2363,1
ACCT5192,Lorenzo Tyler,Y,11/7/2019,138.52631578947367,19,2632,1
ACCT4572,Richard Gibson,Y,5/27/2019,137.94117647058823,17,2345,1
ACCT4471,Elle Cohen,Y,2/21/2019,137.75,8,1102,1
ACCT4851,Maddox Mahoney,Y,8/14/2019,137.75,4,551,1
ACCT4740,Johnny Beasley,Y,5/15/2019,137.38888888888889,18,2473,1
ACCT4851,Maddox Mahoney,Y,11/8/2019,137.25,4,549,1
ACCT4039,Selina Perkins,Y,12/18/2019,136.88888888888889,18,2464,1
ACCT4480,Nina Bates,Y,1/31/2019,136.36363636363637,22,3000,1
ACCT5748,Dean Powell,Y,2/2/2019,136.3181818181818,22,2999,1
ACCT4037,Akira Bowman,Y,7/2/2019,136.27272727272728,22,2998,1
ACCT5748,Dean Powell,Y,11/18/2019,135.95454545454547,22,2991,1
ACCT4740,Johnny Beasley,Y,5/8/2019,135.44444444444446,18,2438,1
ACCT4037,Akira Bowman,Y,2/5/2019,134.95454545454547,22,2969,1
ACCT4037,Akira Bowman,Y,12/22/2019,134.45454545454547,22,2958,1
ACCT4039,Selina Perkins,Y,3/21/2019,134.38888888888889,18,2419,1
ACCT3584,Quincy Townsend,Y,4/29/2019,134.36363636363637,11,1478,1
ACCT3565,Maia Zavala,Y,6/7/2019,133.68421052631578,19,2540,1
ACCT7811,Ashtyn Reese,Y,6/13/2019,133.45454545454547,33,4404,2
ACCT6470,Justice Oneill,Y,2/18/2019,130.75,8,1046,1
ACCT3584,Quincy Townsend,Y,2/8/2019,130.63636363636363,11,1437,1
ACCT7000,Zaiden Bender,Y,2/5/2019,129.43478260869566,23,2977,1
ACCT5804,Maritza Estrada,Y,8/14/2019,128.90697674418604,43,5543,2
ACCT5270,Kristian Flynn,Y,10/27/2019,128.875,24,3093,2
ACCT4039,Selina Perkins,Y,1/29/2019,128.77777777777777,18,2318,1
ACCT3867,Keenan Holloway,Y,5/7/2019,128.75,8,1030,1
ACCT4039,Selina Perkins,Y,4/18/2019,128.61111111111111,18,2315,1
ACCT4414,Joey Freeman,Y,1/22/2019,128.52173913043478,23,2956,1
ACCT4037,Akira Bowman,Y,11/20/2019,128.22727272727272,22,2821,1
ACCT6623,Gavyn Gill,Y,11/14/2019,128.04347826086956,23,2945,1
ACCT4480,Nina Bates,Y,6/5/2019,128.0,22,2816,1
ACCT4471,Elle Cohen,Y,10/5/2019,127.625,8,1021,1
ACCT4572,Richard Gibson,Y,4/9/2019,127.29411764705883,17,2164,1
ACCT7000,Zaiden Bender,Y,4/9/2019,127.08695652173913,23,2923,1
ACCT5583,Lainey Horne,Y,9/15/2019,127.0,13,1651,1
ACCT7000,Zaiden Bender,Y,6/30/2019,126.8695652173913,23,2918,1
ACCT6623,Gavyn Gill,Y,12/31/2019,126.82608695652173,23,2917,1
ACCT7000,Zaiden Bender,Y,12/2/2019,126.78260869565217,23,2916,1
ACCT7000,Zaiden Bender,Y,3/3/2019,126.73913043478261,23,2915,1
ACCT3584,Quincy Townsend,Y,9/28/2019,126.72727272727273,11,1394,1
ACCT4037,Akira Bowman,Y,5/15/2019,126.54545454545455,22,2784,1
ACCT4414,Joey Freeman,Y,2/5/2019,126.52173913043478,23,2910,1
ACCT4039,Selina Perkins,Y,3/17/2019,125.83333333333333,18,2265,1
ACCT3234,Agustin Rubio,Y,12/10/2019,125.66666666666667,15,1885,1
ACCT3234,Agustin Rubio,Y,2/15/2019,125.66666666666667,15,1885,1
ACCT6623,Gavyn Gill,Y,9/11/2019,125.3913043478261,23,2884,1
ACCT4480,Nina Bates,Y,11/5/2019,125.22727272727273,22,2755,1
ACCT4039,Selina Perkins,Y,1/26/2019,125.22222222222223,18,2254,1
ACCT4037,Akira Bowman,Y,4/20/2019,125.0909090909091,22,2752,1
ACCT5655,Mckenna Dixon,Y,2/9/2019,124.88235294117646,17,2123,1
ACCT5583,Lainey Horne,Y,5/3/2019,124.76923076923077,13,1622,1
ACCT6160,Gunner Crawford,Y,11/28/2019,124.45833333333333,24,2987,1
ACCT5962,Jace Harding,Y,3/20/2019,124.33333333333333,24,2984,1
ACCT7000,Zaiden Bender,Y,5/16/2019,124.30434782608695,23,2859,1
ACCT5270,Kristian Flynn,Y,7/13/2019,124.29166666666667,24,2983,1
ACCT4039,Selina Perkins,Y,11/7/2019,124.16666666666667,18,2235,1
ACCT4444,Jamar Ortega,Y,4/5/2019,123.70833333333333,24,2969,1
ACCT3867,Keenan Holloway,Y,3/24/2019,123.5,8,988,1
ACCT2911,Cory Nixon,Y,9/4/2019,123.375,24,2961,1
ACCT4037,Akira Bowman,Y,3/30/2019,123.31818181818181,22,2713,1
ACCT5192,Lorenzo Tyler,Y,6/29/2019,123.3157894736842,19,2343,1
ACCT5748,Dean Powell,Y,4/25/2019,123.22727272727273,22,2711,1
ACCT4740,Johnny Beasley,Y,7/17/2019,123.11111111111111,18,2216,1
ACCT6160,Gunner Crawford,Y,10/3/2019,123.08333333333333,24,2954,1
ACCT5655,Mckenna Dixon,Y,7/15/2019,122.82352941176471,17,2088,1
ACCT4444,Jamar Ortega,Y,8/4/2019,122.75,24,2946,1
ACCT6160,Gunner Crawford,Y,3/23/2019,122.625,24,2943,1
ACCT5748,Dean Powell,Y,9/13/2019,122.5909090909091,22,2697,1
ACCT5655,Mckenna Dixon,Y,6/27/2019,122.3529411764706,17,2080,1
ACCT6623,Gavyn Gill,Y,9/15/2019,122.34782608695652,23,2814,1
ACCT4740,Johnny Beasley,Y,1/22/2019,122.27777777777777,18,2201,1
ACCT4414,Joey Freeman,Y,12/22/2019,121.91304347826087,23,2804,1
ACCT7000,Zaiden Bender,Y,2/10/2019,121.8695652173913,23,2803,1
ACCT4572,Richard Gibson,Y,11/28/2019,121.23529411764706,17,2061,1
ACCT5270,Kristian Flynn,Y,4/28/2019,121.0,24,2904,1
ACCT5962,Jace Harding,Y,4/13/2019,120.70833333333333,24,2897,1
ACCT5270,Kristian Flynn,Y,1/4/2019,120.625,24,2895,1
ACCT3565,Maia Zavala,Y,11/10/2019,120.57894736842105,19,2291,1
ACCT7958,Kash Dickson,Y,1/18/2019,120.375,16,1926,1
ACCT4039,Selina Perkins,Y,12/11/2019,119.94444444444444,18,2159,1
ACCT7000,Zaiden Bender,Y,9/19/2019,119.78260869565217,23,2755,1
ACCT5655,Mckenna Dixon,Y,11/25/2019,119.76470588235294,17,2036,1
ACCT5583,Lainey Horne,Y,6/7/2019,119.6923076923077,13,1556,1
ACCT6623,Gavyn Gill,Y,1/5/2019,119.43478260869566,23,2747,1
ACCT7958,Kash Dickson,Y,6/25/2019,119.375,16,1910,1
ACCT5655,Mckenna Dixon,Y,9/5/2019,119.3529411764706,17,2029,1
ACCT2626,Conor Ross,Y,9/29/2019,119.33333333333333,24,2864,1
ACCT5583,Lainey Horne,Y,8/21/2019,119.3076923076923,13,1551,1
ACCT6623,Gavyn Gill,Y,4/11/2019,119.17391304347827,23,2741,1
ACCT4444,Jamar Ortega,Y,5/4/2019,119.04166666666667,24,2857,1
ACCT3565,Maia Zavala,Y,7/7/2019,118.73684210526316,19,2256,1
ACCT5583,Lainey Horne,Y,6/13/2019,118.46153846153847,13,1540,1
ACCT4037,Akira Bowman,Y,11/27/2019,118.18181818181819,22,2600,1
ACCT4572,Richard Gibson,Y,7/29/2019,117.76470588235294,17,2002,1
ACCT3565,Maia Zavala,Y,1/1/2019,117.6842105263158,19,2236,1
ACCT4039,Selina Perkins,Y,2/14/2019,117.66666666666667,18,2118,1
ACCT4228,Malik Lloyd,Y,12/5/2019,117.46153846153847,13,1527,1
ACCT4039,Selina Perkins,Y,1/14/2019,117.38888888888889,18,2113,1
ACCT5669,Dayami Gates,Y,11/20/2019,117.2,25,2930,1
ACCT5962,Jace Harding,Y,2/5/2019,117.125,24,2811,1
ACCT4228,Malik Lloyd,Y,1/22/2019,116.6923076923077,13,1517,1
ACCT4480,Nina Bates,Y,12/24/2019,116.54545454545455,22,2564,1
ACCT4444,Jamar Ortega,Y,2/26/2019,116.375,24,2793,1
ACCT2626,Conor Ross,Y,9/20/2019,116.20833333333333,24,2789,1
ACCT3234,Agustin Rubio,Y,6/12/2019,116.13333333333334,15,1742,1
ACCT3234,Agustin Rubio,Y,10/15/2019,116.13333333333334,15,1742,1
ACCT6623,Gavyn Gill,Y,4/3/2019,116.0,23,2668,1
ACCT7958,Kash Dickson,Y,5/15/2019,115.8125,16,1853,1
ACCT3565,Maia Zavala,Y,10/15/2019,115.78947368421052,19,2200,1
ACCT4037,Akira Bowman,Y,6/7/2019,115.68181818181819,22,2545,1
ACCT4572,Richard Gibson,Y,8/14/2019,115.47058823529412,17,1963,1
ACCT5669,Dayami Gates,Y,8/28/2019,115.44,25,2886,1
ACCT4572,Richard Gibson,Y,9/1/2019,115.29411764705883,17,1960,1
ACCT3565,Maia Zavala,Y,9/22/2019,114.89473684210526,19,2183,1
ACCT4572,Richard Gibson,Y,7/19/2019,114.70588235294117,17,1950,1
