transaction_ct,transaction_amt,t.sender_acct,recieving_acct_id,recieving_acct_name,recieving_acct_annual_income,recieving_acct_src_income,a.acct_industry,a.acct_risk,t.transaction_date,t.send_country_risk,t.send_country_name,t.reciever_country_risk,t.reciever_country_name
1,4963151,ACCT3560,ACCT5176,Tamia Gonzales,3885466,Business,Internet,High,7/22/2019,High,Pakistan,Low,United States
1,4960674,ACCT7761,ACCT7506,Cruz Waller,2481376,Business,Timber industry,High,10/26/2019,High,Philippines,Low,Canada
1,4957873,ACCT3642,ACCT2543,Magdalena Avery,4723158,Business,Petroleum industry,High,6/12/2019,High,Turkey,Low,Australia
1,4957229,ACCT2225,ACCT6653,Philip Martinez,3867431,Business,Food industry,High,1/26/2019,High,South Africa,Low,France
1,4955864,ACCT7473,ACCT3266,Rayna Mcbride,4308917,Business,Pulp and paper industry,High,12/15/2019,High,Turkey,Low,United States
1,4953610,ACCT7745,ACCT2001,Kevin Shelton,1435598,Business,Telecommunications industry,High,3/22/2019,High,Philippines,Low,Canada
1,4950792,ACCT4685,ACCT3430,Solomon Quinn,2918927,Business,Fishing industry,High,8/18/2019,High,Pakistan,Low,Mexico
1,4950359,ACCT6159,ACCT6778,Julius Spence,2190140,Business,Timber industry,High,3/17/2019,High,Vietnam,Low,South Korea
1,4949763,ACCT2117,ACCT5428,Demetrius Rivers,1500027,Business,Telecommunications industry,High,7/19/2019,High,Brazil,Low,Australia
1,4947921,ACCT6375,ACCT4986,Abigail Moon,2480508,Business,Telecommunications industry,High,8/25/2019,High,Turkey,Low,United Kingdom
1,4947697,ACCT4430,ACCT2218,August Bolton,4281197,Business,Mining,High,12/15/2019,High,Russia,Low,Italy
1,4946580,ACCT4465,ACCT3424,Hannah Moreno,4077856,Business,Software industry,High,7/25/2019,High,Bangladesh,Low,Germany
1,4946165,ACCT7318,ACCT3424,Hannah Moreno,4077856,Business,Software industry,High,5/15/2019,High,Bangladesh,Low,Italy
1,4942450,ACCT6377,ACCT7599,Anabelle Wolfe,243191,Business,Petroleum industry,High,12/12/2019,High,Iran,Low,Netherlands
1,4941205,ACCT5252,ACCT3661,Rolando Hester,1517068,Business,Mass media,High,1/24/2019,High,Vietnam,Low,United Kingdom
1,4936568,ACCT2525,ACCT3259,Adison Mclaughlin,3695620,Business,Shipbuilding industry,High,9/11/2019,High,Indonesia,Low,Japan
1,4936503,ACCT2928,ACCT2251,Mariam Camacho,2040453,Business,Steel industry,High,1/2/2019,High,Bangladesh,Low,Mexico
1,4934355,ACCT4518,ACCT4215,Nikolas Alvarado,1141936,Business,Computer industry,High,10/4/2019,High,Iran,Low,Germany
1,4933478,ACCT5277,ACCT7538,Jeffery Nguyen,3768058,Business,Steel industry,High,8/5/2019,High,Argentina,Low,Germany
1,4933227,ACCT5962,ACCT5817,Rebecca Hunt,3618271,Business,Sport industry,High,6/5/2019,High,Bangladesh,Low,Japan
1,4928770,ACCT5545,ACCT2743,Frida Faulkner,813954,Business,Mass media,High,12/24/2019,High,Bangladesh,Low,France
1,4926192,ACCT7048,ACCT7530,Trinity Frost,3614862,Business,Low to medium tech industry,High,12/24/2019,High,Colombia,Low,Canada
1,4924610,ACCT5614,ACCT4204,Luis Ali,1655116,Business,Broadcasting,High,3/28/2019,High,Vietnam,Low,Australia
1,4922908,ACCT2364,ACCT7798,Graham Shah,1427972,Business,Textile industry,High,2/20/2019,High,Philippines,Low,Germany
1,4918342,ACCT4547,ACCT3288,Emerson Farrell,2526859,Business,Shipbuilding industry,High,11/24/2019,High,Philippines,Low,Italy
1,4917994,ACCT2404,ACCT4662,Marvin Mayo,4674057,Business,Transport industry,High,12/27/2019,High,Turkey,Low,Mexico
1,4912733,ACCT4536,ACCT4090,Dustin Kerr,1446737,Business,Health care industry,High,8/4/2019,High,Saudi Arabia,Low,Germany
1,4912306,ACCT2104,ACCT4236,Raphael Byrd,2499596,Business,Broadcasting,High,4/22/2019,High,Colombia,Low,United States
1,4910321,ACCT2254,ACCT7647,Alayna Eaton,3164237,Business,Shipbuilding industry,High,11/27/2019,High,Vietnam,Low,France
1,4909498,ACCT5312,ACCT3614,Eden Saunders,3568120,Business,Automotive industry,High,6/3/2019,High,Egypt,Low,Mexico
1,4908430,ACCT5519,ACCT6005,Junior Allison,4188049,Business,Transport industry,High,12/25/2019,High,Philippines,Low,Germany
1,4907813,ACCT6309,ACCT6010,Demetrius Moyer,1701688,Business,Automotive industry,High,5/1/2019,High,Pakistan,Low,France
1,4904496,ACCT5475,ACCT5918,Kamora Rice,3977010,Business,Mass media,High,8/6/2019,High,Bangladesh,Low,United Kingdom
1,4897861,ACCT7978,ACCT3298,Tyson Morrison,4096577,Business,Broadcasting,High,8/4/2019,High,Nigeria,Low,Japan
1,4892432,ACCT2567,ACCT5713,Lexie Floyd,683623,Business,Electronics industry,High,1/29/2019,High,Turkey,Low,Australia
1,4890770,ACCT4515,ACCT5621,Isaac Flynn,3605900,Business,Food industry,High,9/9/2019,High,Iran,Low,South Korea
1,4890607,ACCT7976,ACCT6119,Ally Hancock,812411,Business,Telecommunications industry,High,3/17/2019,High,South Africa,Low,Australia
1,4889644,ACCT5706,ACCT5993,Jerome Salas,326590,Business,Transport industry,High,3/8/2019,High,Indonesia,Low,Japan
1,4887538,ACCT5579,ACCT6271,Aileen Cherry,3291825,Business,Music industry,High,1/21/2019,High,Philippines,Low,United States
1,4887249,ACCT3693,ACCT2655,Killian Bender,3103615,Business,Sport industry,High,6/25/2019,High,South Africa,Low,United States
1,4886193,ACCT2405,ACCT2572,Ashlee Phelps,1779194,Business,Automotive industry,High,6/29/2019,High,Vietnam,Low,Canada
1,4884461,ACCT3742,ACCT2473,Cedric Ali,3388749,Business,Sport industry,High,7/4/2019,High,Vietnam,Low,Germany
1,4878078,ACCT3356,ACCT5424,Orlando Lucas,3218039,Business,Industrial robot industry,High,12/10/2019,High,Nigeria,Low,Canada
1,4876301,ACCT2974,ACCT3225,Khloe Hill,1648387,Business,Timber industry,High,1/21/2019,High,Nigeria,Low,South Korea
1,4870080,ACCT5296,ACCT2484,Rodney Zavala,279780,Business,Health care industry,High,11/4/2019,High,Iran,Low,Canada
1,4868297,ACCT6906,ACCT2233,Abril Mcknight,3683287,Business,Low to medium tech industry,High,9/29/2019,High,Egypt,Low,France
1,4864336,ACCT7077,ACCT2450,Alyvia Rogers,1080569,Business,Real estate industry,High,3/20/2019,High,Turkey,Low,Mexico
1,4864281,ACCT7143,ACCT4204,Luis Ali,1655116,Business,Broadcasting,High,10/23/2019,High,Egypt,Low,Netherlands
1,4862603,ACCT6873,ACCT4517,Sarahi Richmond,2898357,Business,Textile industry,High,11/6/2019,High,Bangladesh,Low,Germany
1,4862278,ACCT2380,ACCT7603,Finley Lynch,1800068,Business,Music industry,High,2/16/2019,High,South Africa,Low,Germany
1,4862209,ACCT5271,ACCT2333,Derick Peters,3656649,Business,Software industry,High,2/17/2019,High,South Africa,Low,United States
1,4861867,ACCT4980,ACCT6149,Noel Hardy,4858530,Business,Fishing industry,High,4/7/2019,High,Bangladesh,Low,Japan
1,4854142,ACCT2710,ACCT6215,Chance Hardin,3873049,Business,Video game industry,High,5/1/2019,High,Brazil,Low,Australia
1,4853909,ACCT5609,ACCT4291,Augustus Meyer,3811329,Business,Automotive industry,High,11/16/2019,High,Vietnam,Low,France
1,4853876,ACCT2726,ACCT3670,Cheyanne Willis,529103,Business,Mining,High,12/8/2019,High,Saudi Arabia,Low,Australia
1,4853041,ACCT3588,ACCT4121,Macy Abbott,283204,Business,Film industry,High,1/31/2019,High,Turkey,Low,Netherlands
1,4847980,ACCT5406,ACCT5199,Briana Singh,1624444,Business,Education industry,High,5/26/2019,High,Turkey,Low,Germany
1,4847387,ACCT3110,ACCT6285,Aimee Baxter,2500090,Business,Mass media,High,7/9/2019,High,Turkey,Low,South Korea
1,4846888,ACCT2993,ACCT2765,Mckenna Mcintosh,1877005,Business,Timber industry,High,5/17/2019,High,Colombia,Low,Australia
1,4846269,ACCT2862,ACCT5858,Angelique Beasley,2438459,Business,Sport industry,High,11/22/2019,High,Philippines,Low,United States
1,4843697,ACCT7762,ACCT5505,Kathleen Lara,1967422,Business,Sport industry,High,11/16/2019,High,Indonesia,Low,France
1,4841235,ACCT7146,ACCT2011,Serena Santana,2326221,Business,Software industry,High,5/2/2019,High,Philippines,Low,Germany
1,4841157,ACCT7141,ACCT6917,Johnny Hill,3669572,Business,Pulp and paper industry,High,10/25/2019,High,Iran,Low,Australia
1,4840684,ACCT4371,ACCT3445,Ralph Hebert,853212,Business,Timber industry,High,5/31/2019,High,Turkey,Low,United Kingdom
1,4840321,ACCT2981,ACCT5508,Alma Pena,1983051,Business,Publishing,High,10/21/2019,High,Bangladesh,Low,Japan
1,4835895,ACCT4735,ACCT5082,Mitchell Harrell,1149639,Business,Semiconductor industry,High,10/13/2019,High,Bangladesh,Low,Australia
1,4833577,ACCT4937,ACCT4556,Gabriela Myers,4068646,Business,Pharmaceutical industry,High,6/21/2019,High,Turkey,Low,Japan
1,4832661,ACCT7279,ACCT6969,Santos Cantrell,1079773,Business,Tobacco industry,High,6/1/2019,High,Egypt,Low,France
1,4826940,ACCT5087,ACCT6571,Brogan Farmer,880290,Business,Mass media,High,7/15/2019,High,Colombia,Low,France
1,4824919,ACCT6397,ACCT7798,Graham Shah,1427972,Business,Textile industry,High,10/30/2019,High,Vietnam,Low,South Korea
1,4823190,ACCT5441,ACCT7834,Karli Ryan,1020063,Business,Internet,High,4/29/2019,High,Egypt,Low,South Korea
1,4817769,ACCT5042,ACCT4571,Jaycee Howell,1974903,Business,Industrial robot industry,High,12/10/2019,High,Nigeria,Low,Canada
1,4816840,ACCT7514,ACCT7545,Trevin Pitts,4815501,Business,Mining,High,8/5/2019,High,Vietnam,Low,Canada
1,4816354,ACCT5625,ACCT2040,Alan Hooper,1763282,Business,Hospitality industry,High,9/22/2019,High,Argentina,Low,Germany
1,4815397,ACCT2379,ACCT3840,Grady Richards,598455,Business,Arms industry,High,5/17/2019,High,Saudi Arabia,Low,France
1,4812317,ACCT2778,ACCT2648,Sabrina Mcmahon,2870557,Business,Fishing industry,High,9/23/2019,High,South Africa,Low,Canada
1,4810855,ACCT2393,ACCT4503,Krish Braun,1513481,Business,Semiconductor industry,High,10/30/2019,High,Vietnam,Low,France
1,4809992,ACCT2559,ACCT5862,Teagan Jacobs,3639861,Business,Insurance industry,High,10/12/2019,High,Colombia,Low,United States
1,4807974,ACCT6114,ACCT7459,Noah Nelson,1055387,Business,Internet,High,8/14/2019,High,Russia,Low,Netherlands
1,4806468,ACCT4680,ACCT7125,Skyler Key,1287205,Business,Textile industry,High,3/9/2019,High,Saudi Arabia,Low,United Kingdom
1,4801914,ACCT2148,ACCT4891,Jaidyn Kirk,603008,Business,Tobacco industry,High,7/30/2019,High,Argentina,Low,Italy
1,4801317,ACCT2831,ACCT3564,Caitlin Archer,2120882,Business,Pulp and paper industry,High,8/13/2019,High,Colombia,Low,Australia
1,4795922,ACCT4195,ACCT6394,Oswaldo Davenport,2494226,Business,Food industry,High,7/1/2019,High,Brazil,Low,France
1,4792087,ACCT5985,ACCT4662,Marvin Mayo,4674057,Business,Transport industry,High,8/31/2019,High,Bangladesh,Low,Germany
1,4789787,ACCT4423,ACCT7202,John Booth,3429532,Business,Mass media,High,9/19/2019,High,Saudi Arabia,Low,Japan
1,4789123,ACCT3749,ACCT5621,Isaac Flynn,3605900,Business,Food industry,High,1/10/2019,High,Philippines,Low,Canada
1,4788541,ACCT3886,ACCT2265,Odin Wolfe,3240722,Business,Software industry,High,4/10/2019,High,Iran,Low,United Kingdom
1,4785375,ACCT6940,ACCT3270,Andreas Vargas,1267559,Business,Music industry,High,2/11/2019,High,Egypt,Low,France
1,4780935,ACCT4792,ACCT3946,Dania Moyer,1931245,Business,Semiconductor industry,High,3/28/2019,High,Brazil,Low,United States
1,4780160,ACCT2421,ACCT3952,Zachery Wong,1502477,Business,Sport industry,High,7/30/2019,High,Pakistan,Low,Canada
1,4779287,ACCT6765,ACCT7286,Rebekah Vaughn,273083,Business,Telecommunications industry,High,5/10/2019,High,Argentina,Low,France
1,4772448,ACCT4881,ACCT5204,Isabela Douglas,3461728,Business,Mining,High,10/2/2019,High,Colombia,Low,Netherlands
1,4771765,ACCT7521,ACCT6312,Ariella Norton,2628541,Business,Real estate industry,High,7/19/2019,High,Indonesia,Low,Canada
1,4769819,ACCT6077,ACCT5505,Kathleen Lara,1967422,Business,Sport industry,High,3/10/2019,High,Turkey,Low,Canada
1,4767165,ACCT3238,ACCT7415,Jon Perkins,2657395,Business,Film industry,High,4/12/2019,High,Argentina,Low,United States
1,4765702,ACCT2213,ACCT7697,Naomi Payne,2542330,Business,Software industry,High,11/16/2019,High,Egypt,Low,Canada
1,4765097,ACCT3166,ACCT3752,Carly Reeves,3849148,Business,Tobacco industry,High,2/21/2019,High,Pakistan,Low,Canada
1,4764672,ACCT3792,ACCT4571,Jaycee Howell,1974903,Business,Industrial robot industry,High,8/21/2019,High,Argentina,Low,Japan
1,4760818,ACCT7114,ACCT4117,Cecelia Bartlett,4446672,Business,Shipbuilding industry,High,9/8/2019,High,Brazil,Low,South Korea
1,4759748,ACCT5130,ACCT4164,Abdullah Hays,795837,Business,Shipbuilding industry,High,5/30/2019,High,Iran,Low,Italy
1,4759620,ACCT4878,ACCT3810,Maryjane Fritz,4599372,Business,Chemical industry,High,11/17/2019,High,Colombia,Low,Netherlands
1,4744376,ACCT2347,ACCT3424,Hannah Moreno,4077856,Business,Software industry,High,3/14/2019,High,Brazil,Low,South Korea
1,4743782,ACCT2708,ACCT7798,Graham Shah,1427972,Business,Textile industry,High,3/6/2019,High,Pakistan,Low,Netherlands
1,4743472,ACCT5003,ACCT2929,Adelyn Holmes,918271,Business,Water industry,High,3/27/2019,High,Indonesia,Low,South Korea
1,4742672,ACCT5723,ACCT5539,Makenzie Warner,4597258,Business,Video game industry,High,9/19/2019,High,Iran,Low,Netherlands
1,4740165,ACCT5408,ACCT5069,Kaitlin Matthews,2254543,Business,News media,High,2/15/2019,High,Egypt,Low,France
1,4739383,ACCT7727,ACCT6587,Destinee Shaw,4201432,Business,Health care industry,High,6/17/2019,High,Indonesia,Low,Mexico
1,4738758,ACCT7595,ACCT2693,Zayden Webster,802647,Business,Entertainment industry,High,10/24/2019,High,Iran,Low,Italy
1,4738012,ACCT4853,ACCT3457,Marco Melton,1074965,Business,Low to medium tech industry,High,2/4/2019,High,Egypt,Low,South Korea
1,4737661,ACCT4301,ACCT5157,Eileen Brown,4278563,Business,Defense industry,High,9/27/2019,High,Turkey,Low,Australia
1,4736492,ACCT7297,ACCT5294,Alani Wilson,3487721,Business,Low to medium tech industry,High,8/29/2019,High,Bangladesh,Low,France
1,4735525,ACCT7540,ACCT4181,Tyrell Figueroa,1068160,Business,Pharmaceutical industry,High,5/31/2019,High,Iran,Low,Mexico
1,4734064,ACCT2305,ACCT2913,Nevaeh Galvan,3493833,Business,Health care industry,High,6/20/2019,High,Philippines,Low,Netherlands
1,4733766,ACCT3970,ACCT7490,Alexis Kelley,3111390,Business,News media,High,5/3/2019,High,Argentina,Low,Mexico
1,4733514,ACCT7896,ACCT4899,Lizbeth Leon,2051743,Business,Textile industry,High,1/16/2019,High,Indonesia,Low,United States
1,4731671,ACCT6176,ACCT7334,Seamus Molina,3785847,Business,Industrial robot industry,High,7/18/2019,High,Saudi Arabia,Low,Canada
1,4730921,ACCT2232,ACCT4903,Yusuf Colon,614078,Business,Computer industry,High,2/6/2019,High,Philippines,Low,France
1,4723030,ACCT5257,ACCT2847,Danna Contreras,3292998,Business,Timber industry,High,12/15/2019,High,Argentina,Low,United Kingdom
1,4721073,ACCT2307,ACCT6400,Haley Hughes,3842473,Business,Film industry,High,6/3/2019,High,Pakistan,Low,France
1,4716915,ACCT4902,ACCT4585,Jeremiah Carter,2328465,Business,Energy industry,High,6/2/2019,High,Philippines,Low,United Kingdom
1,4714085,ACCT4858,ACCT6096,Skylar Hill,2046995,Business,Food industry,High,2/16/2019,High,Turkey,Low,France
1,4713381,ACCT2790,ACCT3173,Judah Carson,3201502,Business,Steel industry,High,6/10/2019,High,Indonesia,Low,Canada
1,4711694,ACCT2852,ACCT7673,Viviana Sellers,811374,Business,Video game industry,High,7/30/2019,High,Argentina,Low,France
1,4711107,ACCT6848,ACCT4004,Keely Gross,3578022,Business,Shipbuilding industry,High,3/29/2019,High,Iran,Low,United Kingdom
1,4706133,ACCT5131,ACCT6075,Abram Vaughn,553529,Business,Tobacco industry,High,11/21/2019,High,Nigeria,Low,Canada
1,4701514,ACCT7494,ACCT7714,Frances Watkins,291369,Business,Fishing industry,High,8/21/2019,High,Argentina,Low,Japan
1,4701219,ACCT7776,ACCT4121,Macy Abbott,283204,Business,Film industry,High,10/20/2019,High,Argentina,Low,France
1,4699646,ACCT6175,ACCT6911,Alayna Lucero,3584573,Business,Automotive industry,High,6/4/2019,High,Brazil,Low,Canada
1,4692499,ACCT6851,ACCT4965,Emiliano Moses,2499393,Business,Software industry,High,11/13/2019,High,Nigeria,Low,United States
1,4691956,ACCT7942,ACCT4664,Kole Pruitt,900219,Business,Industrial robot industry,High,7/16/2019,High,Bangladesh,Low,United States
1,4687056,ACCT3216,ACCT5577,Leonidas Elliott,1279084,Business,Fishing industry,High,10/4/2019,High,Nigeria,Low,Netherlands
1,4683098,ACCT2334,ACCT5199,Briana Singh,1624444,Business,Education industry,High,12/25/2019,High,Nigeria,Low,Netherlands
1,4682836,ACCT7835,ACCT4489,Angelo Ellison,3516683,Business,Publishing,High,11/13/2019,High,Bangladesh,Low,Germany
1,4682486,ACCT6594,ACCT5338,Alessandro Murillo,794758,Business,Insurance industry,High,6/6/2019,High,Philippines,Low,South Korea
1,4682282,ACCT5807,ACCT5918,Kamora Rice,3977010,Business,Mass media,High,5/25/2019,High,Pakistan,Low,Italy
1,4681372,ACCT5470,ACCT7000,Zaiden Bender,1626801,Business,Mass media,High,9/8/2019,High,Egypt,Low,United Kingdom
1,4680503,ACCT7607,ACCT3066,Eric Beard,984304,Business,Water industry,High,6/6/2019,High,Russia,Low,United Kingdom
1,4677935,ACCT7040,ACCT3266,Rayna Mcbride,4308917,Business,Pulp and paper industry,High,3/1/2019,High,Pakistan,Low,Canada
1,4675512,ACCT4501,ACCT6974,Bruce Allen,4088812,Business,Health care industry,High,12/23/2019,High,Pakistan,Low,Australia
1,4662118,ACCT3925,ACCT4261,Londyn Barnes,217013,Business,Publishing,High,10/29/2019,High,Vietnam,Low,South Korea
1,4661709,ACCT2602,ACCT4027,Shayla Shah,1940055,Business,Hospitality industry,High,6/18/2019,High,Bangladesh,Low,Japan
1,4655215,ACCT5842,ACCT7834,Karli Ryan,1020063,Business,Internet,High,5/7/2019,High,Nigeria,Low,United Kingdom
1,4645532,ACCT7916,ACCT2130,Aiden Watts,1456596,Business,Fishing industry,High,9/8/2019,High,Vietnam,Low,Japan
1,4644228,ACCT4231,ACCT5603,Aydin Noble,210506,Business,Chemical industry,High,10/25/2019,High,Nigeria,Low,Mexico
1,4643321,ACCT5085,ACCT7339,Delilah Miranda,1255268,Business,Food industry,High,4/6/2019,High,Russia,Low,United Kingdom
1,4638917,ACCT7501,ACCT3670,Cheyanne Willis,529103,Business,Mining,High,1/24/2019,High,Nigeria,Low,Japan
1,4638466,ACCT5257,ACCT3018,Camilla Randolph,3032442,Business,Textile industry,High,12/13/2019,High,Egypt,Low,United Kingdom
1,4638341,ACCT3862,ACCT3304,Princess Rush,3982258,Business,Industrial robot industry,High,5/19/2019,High,Argentina,Low,South Korea
1,4637421,ACCT7924,ACCT6758,Rigoberto Newman,1549567,Business,Aerospace industry,High,6/25/2019,High,Colombia,Low,United Kingdom
1,4636295,ACCT4058,ACCT2913,Nevaeh Galvan,3493833,Business,Health care industry,High,1/2/2019,High,Vietnam,Low,South Korea
1,4633773,ACCT2306,ACCT4897,Alisa Cameron,1767866,Business,Telecommunications industry,High,4/19/2019,High,Bangladesh,Low,Australia
1,4632969,ACCT7855,ACCT7266,Emely Esparza,934368,Business,Video game industry,High,2/19/2019,High,Pakistan,Low,South Korea
1,4630369,ACCT7253,ACCT5199,Briana Singh,1624444,Business,Education industry,High,8/5/2019,High,Egypt,Low,Netherlands
1,4630349,ACCT2419,ACCT2572,Ashlee Phelps,1779194,Business,Automotive industry,High,6/16/2019,High,Indonesia,Low,Germany
1,4627531,ACCT2877,ACCT5060,Tristan Arias,3475375,Business,Textile industry,High,11/1/2019,High,Philippines,Low,South Korea
1,4621621,ACCT5667,ACCT7350,Peter Gibbs,737939,Business,Video game industry,High,6/11/2019,High,Russia,Low,Japan
1,4616639,ACCT3189,ACCT3457,Marco Melton,1074965,Business,Low to medium tech industry,High,4/10/2019,High,Pakistan,Low,United Kingdom
1,4613498,ACCT2182,ACCT5925,Nico Maddox,2741250,Business,Computer industry,High,6/29/2019,High,South Africa,Low,Netherlands
1,4613403,ACCT2091,ACCT4681,Skylar Foster,2148596,Business,Water industry,High,3/17/2019,High,Vietnam,Low,Canada
1,4611706,ACCT5631,ACCT3786,Uriel Fry,3022346,Business,Electronics industry,High,4/19/2019,High,Saudi Arabia,Low,Italy
1,4611529,ACCT4878,ACCT5795,Mateo Hinton,2026516,Business,Video game industry,High,2/5/2019,High,Egypt,Low,Netherlands
1,4610283,ACCT7240,ACCT7599,Anabelle Wolfe,243191,Business,Petroleum industry,High,11/26/2019,High,Turkey,Low,Germany
1,4607895,ACCT6493,ACCT6056,Jaylin Villarreal,4432450,Business,Mass media,High,5/22/2019,High,Russia,Low,Japan
1,4605519,ACCT7327,ACCT3826,Brisa Swanson,3044573,Business,Telecommunications industry,High,5/6/2019,High,Saudi Arabia,Low,Mexico
1,4605125,ACCT7320,ACCT3826,Brisa Swanson,3044573,Business,Telecommunications industry,High,7/16/2019,High,Argentina,Low,South Korea
1,4602018,ACCT4854,ACCT3094,Miya Aguilar,1913490,Business,Mass media,High,1/15/2019,High,Saudi Arabia,Low,Mexico
1,4601391,ACCT6776,ACCT5424,Orlando Lucas,3218039,Business,Industrial robot industry,High,1/29/2019,High,Philippines,Low,Australia
1,4597725,ACCT2592,ACCT4215,Nikolas Alvarado,1141936,Business,Computer industry,High,5/21/2019,High,Argentina,Low,Italy
1,4596694,ACCT5005,ACCT2847,Danna Contreras,3292998,Business,Timber industry,High,10/29/2019,High,Iran,Low,Germany
1,4595842,ACCT3856,ACCT6833,Jillian Parsons,3749663,Business,Sport industry,High,6/3/2019,High,Vietnam,Low,Canada
1,4595477,ACCT7193,ACCT6812,Laney Hardin,3474966,Business,Mass media,High,1/2/2019,High,Indonesia,Low,Mexico
1,4594642,ACCT3683,ACCT5600,Tiana Levy,1608741,Business,Steel industry,High,10/27/2019,High,Indonesia,Low,South Korea
1,4593332,ACCT6885,ACCT4336,Jaydin Carson,2608539,Business,Mass media,High,11/3/2019,High,South Africa,Low,France
1,4592035,ACCT2512,ACCT6174,Eduardo Bryan,828141,Business,Industrial robot industry,High,4/4/2019,High,Indonesia,Low,Netherlands
1,4587404,ACCT3937,ACCT5428,Demetrius Rivers,1500027,Business,Telecommunications industry,High,8/24/2019,High,Russia,Low,United States
1,4586855,ACCT2752,ACCT6631,Simon Brown,3436756,Business,Information industry,High,9/26/2019,High,Bangladesh,Low,Mexico
1,4585999,ACCT3517,ACCT2852,Keegan Brock,2905114,Business,Pharmaceutical industry,High,6/28/2019,High,Brazil,Low,Netherlands
1,4582598,ACCT2092,ACCT6236,Frankie Wolf,1876637,Business,Petroleum industry,High,3/10/2019,High,Colombia,Low,Australia
1,4579673,ACCT7233,ACCT6833,Jillian Parsons,3749663,Business,Sport industry,High,1/3/2019,High,Bangladesh,Low,Netherlands
1,4577771,ACCT6620,ACCT3578,Jovany Montoya,2270509,Business,Construction industry,High,10/21/2019,High,Brazil,Low,Mexico
1,4573044,ACCT3508,ACCT7250,Justice Lane,4151017,Business,Real estate industry,High,7/12/2019,High,Saudi Arabia,Low,Canada
1,4571592,ACCT6899,ACCT3380,Moshe Petty,320296,Business,Energy industry,High,4/15/2019,High,Brazil,Low,Australia
1,4570009,ACCT3453,ACCT3727,Valentina Barrera,4257430,Business,Petroleum industry,High,9/10/2019,High,Turkey,Low,South Korea
1,4566620,ACCT5022,ACCT7862,Clarissa Cochran,1389498,Business,Water industry,High,5/6/2019,High,Indonesia,Low,Australia
1,4566066,ACCT4203,ACCT3974,Jadyn Stark,1540963,Business,Textile industry,High,9/1/2019,High,Philippines,Low,Canada
1,4564468,ACCT3567,ACCT7996,Francis Mcclure,688219,Business,Computer industry,High,1/25/2019,High,Saudi Arabia,Low,United Kingdom
1,4563448,ACCT4561,ACCT4959,Landin Torres,687069,Business,Computer industry,High,7/21/2019,High,Bangladesh,Low,United States
1,4563403,ACCT2974,ACCT2265,Odin Wolfe,3240722,Business,Software industry,High,4/19/2019,High,Brazil,Low,Netherlands
1,4562448,ACCT4589,ACCT4847,Averi Franco,1563269,Business,Video game industry,High,3/16/2019,High,Russia,Low,Japan
1,4558115,ACCT3101,ACCT4897,Alisa Cameron,1767866,Business,Telecommunications industry,High,8/13/2019,High,Colombia,Low,Netherlands
